ERROR:__main__:columns_to_drop is not a list instance
ERROR:__main__:columns_to_drop is not a list instance
ERROR:__main__:columns_to_drop is not a list instance
ERROR:__main__:genres is not a dictionary instance
ERROR:__main__:genres is not a dictionary instance
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
INFO:__main__:Successfully converted genre dictionary into a list
