Game,Genre,metascore,userscore,id
#IDARB,Action,77.0,69.0,1
.hack//G.U. Last Recode,Miscellaneous,72.5,75.5,2
0RBITALIS,Miscellaneous,73.0,73.0,3
1-2-Switch,Miscellaneous,58.0,48.0,4
10 Second Ninja,Action,72.0,74.0,5
10 Second Ninja X,Action,79.0,49.0,6
1001 Spikes,Action,78.0,66.0,7
100ft Robot Golf,Sports,56.0,59.0,8
11-11: Memories Retold,Adventure,75.66666666666667,76.0,9
1954: Alcatraz,General,58.0,63.0,10
1979 Revolution: Black Friday,Adventure,74.0,62.5,11
2064: Read Only Memories,General,76.0,33.0,12
2064: Read Only Memories INTEGRAL,Adventure,74.0,75.0,13
20XX,Action,77.0,79.0,14
2Dark,Action Adventure,62.333333333333336,68.33333333333333,15
39 Days to Mars,Puzzle,71.0,46.0,16
3D After Burner II,Action,81.0,82.0,17
3D Classics: Kid Icarus,Action,77.0,73.0,18
3D Classics: Kirby's Adventure,Action,77.0,79.0,19
3D Classics: TwinBee,Action,68.0,75.0,20
3D Classics: Urban Champion,Action,37.0,58.0,21
3D Classics: Xevious,Action,56.0,58.0,22
3D Gunstar Heroes,Action,89.0,79.0,23
3D Out Run,Driving,87.0,83.0,24
3D Sonic the Hedgehog 2,Action,87.0,83.0,25
3D Streets of Rage II,Action,89.0,75.0,26
3D Thunder Blade,Scrolling,74.0,71.0,27
428: Shibuya Scramble,Action Adventure,85.0,73.0,28
4PM,Adventure,41.0,42.0,29
60 Parsecs!,Adventure,70.0,63.0,30
7 Days to Die,Action,40.0,56.0,31
7554,Action,41.0,48.0,32
7th Dragon III Code: VFD,General,76.0,79.0,33
8-Bit Armies,Strategy,69.0,73.0,34
8-Bit Hordes,Strategy,63.0,25.0,35
80 Days (2015),Adventure,84.0,71.0,36
88 Heroes,Action,72.0,58.0,37
88 Heroes: 98 Heroes Edition,Action,65.0,64.0,38
911 Operator,Simulation,68.0,77.0,39
99Vidas,Action,61.0,69.0,40
A Bastard's Tale,Action,48.0,58.0,41
A Bird Story,General,66.0,69.0,42
A Case of Distrust,Adventure,77.0,50.0,43
A City Sleeps,Action,61.0,62.0,44
A Fisherman's Tale,Adventure,74.5,54.0,45
A Fistful of Gun,Action,60.0,76.0,46
A Game of Dwarves,Strategy,60.0,66.0,47
A Game of Thrones: Genesis,Strategy,53.0,41.0,48
A Golden Wake,Miscellaneous,68.0,60.0,49
A Hat in Time,Action,77.33333333333333,79.33333333333333,50
A New Beginning: Final Cut,Adventure,72.0,68.0,51
A Normal Lost Phone,Simulation,72.0,70.5,52
A Pixel Story,Action,74.0,58.0,53
A Robot Named Fight!,Action,71.0,73.0,54
A Rose in the Twilight,Action,75.0,79.0,55
A Story About My Uncle,Action,73.0,72.0,56
A Total War Saga: Thrones of Britannia,Strategy,75.0,53.0,57
A Valley Without Wind,Action Adventure,54.0,68.0,58
A Virus Named TOM,Miscellaneous,65.0,63.0,59
A Way Out,Action Adventure,78.33333333333333,76.66666666666667,60
A.W.: Phoenix Festa,Role-Playing,55.0,45.0,61
ABZU,Action Adventure,80.33333333333333,75.0,62
ACA NeoGeo: Metal Slug 3,Action,76.0,76.0,63
ACA NeoGeo: Shock Troopers,Action,70.0,67.0,64
ADR1FT,Action,60.0,51.0,65
AER: Memories of Old,Action Adventure,70.0,66.33333333333333,66
AO International Tennis,Sports,58.0,70.5,67
APB: Reloaded,Role-Playing,56.0,57.0,68
AR-K Episode 3: The Great Escape,Adventure,78.0,78.0,69
ARK Park,Adventure,46.0,45.0,70
ARK: Survival Evolved,Action Adventure,56.0,42.0,71
ARMS,Action,77.0,71.0,72
ASTRONEER,Action Adventure,73.0,71.0,73
ATOMIK: RunGunJumpGun,Action,78.0,80.0,74
Aaero,Action,78.5,58.0,75
Aaero: Complete Edition,Action,80.0,80.0,76
Aarklash: Legacy,Strategy,72.0,77.0,77
Aaru's Awakening,Action,59.0,28.0,78
Absolver,Role-Playing,72.0,58.0,79
Abyss,Action,59.0,53.0,80
Abyss Odyssey,Action Adventure,69.0,74.0,81
Abyss Odyssey: Extended Dream Edition,Action Adventure,65.0,54.0,82
Accel World vs. Sword Art Online: Millennium Twilight,Role-Playing,64.0,61.0,83
Ace Banana,Action,40.0,40.0,84
Ace Combat 7: Skies Unknown,Simulation,78.66666666666667,76.66666666666667,85
Ace Combat Assault Horizon: Enhanced Edition,Action,77.0,59.0,86
Ace Combat: Assault Horizon Legacy,Action,71.0,78.0,87
Ace Combat: Assault Horizon Legacy+,Action,63.0,58.0,88
Ace of Spades,Action,49.0,52.0,89
Aces of the Luftwaffe: Squadron,Action,71.0,70.0,90
Achron,Strategy,54.0,74.0,91
Act of Aggression,Military,71.0,71.0,92
Action Henk,Action,73.5,64.0,93
Active Soccer 2 DX,Action,53.0,72.0,94
Actual Sunlight,Action,75.0,61.0,95
Adam's Venture: Origins,Adventure,53.0,58.0,96
Adventure Time: Explore the Dungeon Because I DON'T KNOW!,Action Adventure,40.0,50.0,97
Adventure Time: Finn and Jake Investigations,Adventure,66.0,54.0,98
Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!,Miscellaneous,67.0,72.0,99
