Game,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,id
.hack: Sekai no Mukou ni + Versus,Action,0.0,0.0,0.03,0.0,0.03,1
007: Quantum of Solace,Action,0.39,0.335,0.01,0.10250000000000001,0.8374999999999999,2
10 Minute Solution,Sports,0.06,0.01,0.0,0.01,0.08,3
101-in-1 Party Megamix Wii,Misc,0.19,0.01,0.0,0.02,0.23,4
101-in-1 Sports Party Megamix,Sports,0.02,0.0,0.0,0.0,0.03,5
11eyes: CrossOver,Adventure,0.0,0.0,0.02,0.0,0.02,6
15 Days,Adventure,0.0,0.01,0.0,0.0,0.01,7
1701 A.D.,Simulation,0.0,0.25,0.0,0.05,0.3,8
18 Wheels of Steel: Extreme Trucker,Racing,0.0,0.02,0.0,0.0,0.02,9
18 Wheels of Steel: Extreme Trucker 2,Racing,0.08,0.02,0.0,0.01,0.11,10
187: Ride or Die,Racing,0.05,0.01,0.0,0.0,0.06,11
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,Misc,0.245,0.06,0.0,0.015,0.325,12
2002 FIFA World Cup,Sports,0.14,0.04,0.0,0.01,0.19,13
2010 FIFA World Cup South Africa,Sports,0.2833333333333333,0.4066666666666667,0.03333333333333333,0.11666666666666665,0.84,14
2014 FIFA World Cup Brazil,Sports,0.14500000000000002,0.335,0.005,0.1,0.59,15
25 to Life,Shooter,0.12,0.04,0.0,0.01,0.17,16
3D Dot Game Heroes,Role-Playing,0.36,0.12,0.03,0.07,0.57,17
3rd Super Robot Wars Z Jigoku Hen,Role-Playing,0.0,0.0,0.23,0.0,0.23,18
3rd Super Robot Wars Z: Tengoku-Hen,Action,0.0,0.0,0.15,0.0,0.15,19
4 Elements,Puzzle,0.0,0.04,0.0,0.01,0.05,20
428: Fuusa Sareta Shibuya de,Adventure,0.0,0.0,0.075,0.0,0.075,21
4x4 EVO 2,Racing,0.18,0.05,0.0,0.01,0.24,22
50 Cent: Blood on the Sand,Shooter,0.11,0.065,0.005,0.025,0.2,23
50 Cent: Bulletproof,Action,0.33,0.1,0.0,0.02,0.44,24
7 Days to Die,Action,0.025,0.045000000000000005,0.0,0.01,0.08,25
7 Roses: A Darkness Rises,Misc,0.0,0.02,0.0,0.0,0.02,26
A Boy and His Blob,Platform,0.19,0.02,0.0,0.02,0.22,27
A Game of Thrones: Genesis,Strategy,0.0,0.03,0.0,0.01,0.04,28
A New Beginning,Adventure,0.0,0.05,0.0,0.01,0.06,29
A Vampyre Story,Adventure,0.0,0.01,0.0,0.0,0.02,30
A.C.E.: Another Century's Episode R,Simulation,0.0,0.0,0.26,0.0,0.26,31
ABBA: You Can Dance,Misc,0.19,0.5,0.0,0.11,0.8,32
AC/DC LIVE: Rock Band Track Pack,Misc,0.2233333333333333,0.0033333333333333335,0.0,0.02,0.25,33
AKB1/149: Love Election,Adventure,0.0,0.0,0.08,0.0,0.08,34
AMF Bowling 2004,Sports,0.22,0.06,0.0,0.01,0.3,35
AMF Bowling Pinbusters!,Sports,0.85,0.0,0.0,0.07,0.91,36
AMF Bowling World Lanes,Sports,0.33,0.0,0.0,0.03,0.36,37
APB Reloaded,Role-Playing,0.02,0.01,0.0,0.0,0.04,38
ATV Quad Kings,Racing,0.21,0.0,0.0,0.01,0.22,39
ATV Quad Power Racing 2,Racing,0.36,0.07,0.0,0.01,0.45,40
Academy of Champions: Soccer,Sports,0.1,0.02,0.0,0.01,0.13,41
Accel World: Ginyoku no Kakusei,Adventure,0.0,0.0,0.03,0.0,0.03,42
Accel World: Kasoku no Chouten,Adventure,0.0,0.0,0.02,0.0,0.02,43
Ace Combat 6: Fires of Liberation,Simulation,0.69,0.04,0.22,0.06,1.02,44
Ace Combat: Assault Horizon,Action,0.3,0.14,0.125,0.05500000000000001,0.615,45
Achtung Panzer: Kharkov 1943,Strategy,0.0,0.01,0.0,0.0,0.02,46
Act of Aggression,Strategy,0.0,0.01,0.0,0.0,0.01,47
Active Life Explorer,Sports,0.14,0.0,0.0,0.01,0.15,48
Active Life: Extreme Challenge,Sports,0.15,0.27,0.0,0.06,0.48,49
Active Life: Magical Carnival,Misc,0.04,0.01,0.0,0.0,0.05,50
Active Life: Outdoor Challenge,Sports,0.79,0.44,0.19,0.14,1.55,51
Adrenalin Misfits,Racing,0.12,0.02,0.0,0.01,0.14,52
Advent Rising,Action,0.1,0.03,0.0,0.0,0.13,53
Adventure Time: Explore the Dungeon Because I Don't Know!,Action,0.023333333333333334,0.02333333333333333,0.0,0.006666666666666667,0.05333333333333334,54
Adventure Time: Finn & Jake Investigations,Action,0.024,0.041999999999999996,0.0,0.008,0.076,55
Adventure Time: The Secret of the Nameless,Adventure,0.01,0.0,0.0,0.0,0.01,56
Adventure Time: The Secret of the Nameless Kingdom,Action,0.0,0.08,0.0,0.01,0.09,57
Aegis of Earth: Protonovus Assault,Action,0.015,0.005,0.0,0.0,0.025,58
Aeon Flux,Action,0.01,0.0,0.0,0.0,0.01,59
Afrika,Adventure,0.12,0.0,0.08,0.01,0.21,60
Afro Samurai,Action,0.14,0.05,0.0,0.025,0.22,61
After Hours Athletes,Sports,0.0,0.1,0.0,0.03,0.12,62
Agatha Christie's The ABC Murders,Adventure,0.01,0.01,0.0,0.0,0.02,63
Agatha Christie: And Then There Were None,Adventure,0.06,0.01,0.0,0.01,0.08,64
Agatha Christie: Death on the Nile,Adventure,0.0,0.01,0.0,0.0,0.02,65
Agatha Christie: Evil Under the Sun,Adventure,0.07,0.02,0.0,0.01,0.09,66
Agatha Christie: Peril at End House,Adventure,0.0,0.01,0.0,0.0,0.01,67
Agatha Christie: The ABC Murders,Adventure,0.0,0.02,0.0,0.0,0.02,68
Age of Conan: Rise of the Godslayer,Role-Playing,0.0,0.02,0.0,0.0,0.03,69
Age of Empires III,Strategy,0.0,0.32,0.0,0.07,0.39,70
Age of Empires III: Complete Collection,Strategy,0.01,0.12,0.0,0.03,0.17,71
Age of Empires III: Gold Edition,Strategy,0.0,0.02,0.0,0.01,0.03,72
Age of Empires III: The Asian Dynasties,Strategy,0.0,0.05,0.0,0.01,0.07,73
Age of Empires Online,Strategy,0.01,0.04,0.0,0.01,0.06,74
Age of Empires: Collector's Edition,Strategy,0.02,0.1,0.0,0.02,0.14,75
Age of Mythology,Strategy,0.02,0.06,0.0,0.01,0.09,76
Age of Mythology: The Titans,Strategy,0.01,0.02,0.0,0.0,0.04,77
Aggressive Inline,Sports,0.05,0.01,0.0,0.0,0.06,78
Air Conflicts: Secret Wars,Simulation,0.05333333333333334,0.03333333333333333,0.0,0.016666666666666666,0.10000000000000002,79
AirForce Delta Storm,Shooter,0.14,0.04,0.0,0.01,0.18,80
Airline Tycoon,Simulation,0.0,0.01,0.0,0.0,0.02,81
Airline Tycoon 2,Simulation,0.0,0.04,0.0,0.01,0.05,82
Airport Simulator,Simulation,0.0,0.02,0.0,0.0,0.02,83
Akai Katana Shin,Shooter,0.04,0.0,0.01,0.0,0.06,84
Akatsuki no Goei Trinity,Adventure,0.0,0.0,0.01,0.0,0.01,85
Akiba's Trip: Undead & Undressed,Action,0.065,0.005,0.025,0.015,0.11,86
Aladdin Magic Racer,Racing,0.01,0.0,0.0,0.0,0.01,87
Alan Wake,Action,0.33,0.28500000000000003,0.025,0.07,0.7100000000000001,88
Alias,Action,0.04,0.01,0.0,0.0,0.05,89
Alice in Wonderland,Adventure,0.27,0.21,0.0,0.05,0.53,90
Alice: Madness Returns,Adventure,0.16333333333333333,0.16666666666666666,0.02666666666666667,0.049999999999999996,0.40666666666666673,91
Alien Breed Trilogy,Shooter,0.0,0.02,0.0,0.0,0.03,92
Alien Monster Bowling League,Sports,0.09,0.0,0.0,0.01,0.09,93
Alien Syndrome,Role-Playing,0.06,0.0,0.0,0.0,0.06,94
Alien: Isolation,Shooter,0.166,0.25,0.008,0.06800000000000002,0.48999999999999994,95
Aliens in the Attic,Action,0.07,0.0,0.0,0.01,0.08,96
Aliens versus Predator: Extinction,Strategy,0.06,0.02,0.0,0.0,0.08,97
Aliens vs Predator,Shooter,0.32,0.3466666666666667,0.0,0.10333333333333333,0.7666666666666667,98
Aliens: Colonial Marines,Shooter,0.22,0.24666666666666667,0.0,0.07333333333333333,0.5399999999999999,99
All Points Bulletin,Role-Playing,0.0,0.03,0.0,0.01,0.04,100
All Star Cheer Squad,Sports,0.43,0.29,0.0,0.08,0.8,101
All Star Cheer Squad 2,Sports,0.12,0.0,0.0,0.01,0.13,102
All Star Karate,Action,0.14,0.07,0.0,0.02,0.23,103
All-Pro Football 2K8,Sports,0.19,0.0,0.0,0.015,0.20500000000000002,104
All-Star Baseball 2003,Sports,0.19,0.06,0.0,0.01,0.26,105
All-Star Baseball 2004,Sports,0.1,0.03,0.0,0.0,0.13,106
Alone in the Dark,Adventure,0.07666666666666667,0.13,0.0,0.023333333333333334,0.22666666666666666,107
Alone in the Dark: Inferno,Adventure,0.09,0.03,0.0,0.02,0.14,108
Alpha Protocol,Role-Playing,0.14,0.11333333333333333,0.0,0.04,0.29000000000000004,109
Alter Echo,Shooter,0.04,0.01,0.0,0.0,0.05,110
Alvin and the Chipmunks,Misc,0.05,0.0,0.0,0.0,0.06,111
Alvin and the Chipmunks: Chipwrecked,Misc,0.08,0.01,0.0,0.01,0.1,112
Alvin and the Chipmunks: The Squeakquel,Misc,0.09,0.0,0.0,0.01,0.1,113
America's Army: Rise of a Soldier,Shooter,0.19,0.05,0.0,0.01,0.25,114
America's Army: True Soldiers,Shooter,0.08,0.0,0.0,0.01,0.08,115
America's Next Top Model,Action,0.08,0.0,0.0,0.01,0.08,116
American Chopper,Racing,0.11,0.03,0.0,0.01,0.15,117
American Chopper 2: Full Throttle,Racing,0.04,0.01,0.0,0.0,0.05,118
Amped 2,Sports,0.2,0.04,0.0,0.01,0.25,119
Amped 3,Sports,0.13,0.02,0.0,0.01,0.16,120
Amped: Freestyle Snowboarding,Sports,0.69,0.11,0.0,0.02,0.82,121
Anarchy Reigns,Action,0.10500000000000001,0.025,0.04,0.015,0.19,122
And1 Streetball,Action,0.06,0.02,0.0,0.0,0.07,123
Angry Birds,Puzzle,0.0,0.18,0.0,0.05,0.24,124
Angry Birds Star Wars,Strategy,0.12333333333333334,0.09000000000000001,0.0,0.028333333333333335,0.24,125
Angry Birds Trilogy,Action,0.15,0.04,0.0,0.02,0.21500000000000002,126
Angry Birds: Rio,Puzzle,0.0,0.07,0.0,0.02,0.09,127
Anima - Gate of Memories,Action,0.0,0.02,0.0,0.0,0.02,128
Animal Crossing: Amiibo Festival,Misc,0.19,0.11,0.09,0.03,0.42,129
Animal Crossing: City Folk,Simulation,1.87,1.12,1.32,0.37,4.68,130
Animal Kingdom: Wildlife Expedition,Adventure,0.07,0.0,0.0,0.01,0.08,131
Animal Planet: Vet Life,Simulation,0.09,0.0,0.0,0.01,0.1,132
Anno 2070,Strategy,0.0,1.13,0.0,0.32,1.45,133
Anno 2205,Strategy,0.02,0.22,0.0,0.01,0.25,134
Another Code R: A Journey into Lost Memories,Adventure,0.0,0.03,0.03,0.0,0.06,135
Antz Extreme Racing,Racing,0.01,0.0,0.0,0.0,0.02,136
Anubis II,Platform,0.06,0.0,0.0,0.0,0.07,137
Apache: Air Assault,Simulation,0.07666666666666666,0.04666666666666667,0.0,0.016666666666666666,0.14,138
Ape Escape,Platform,0.0,0.03,0.0,0.01,0.05,139
Apex,Racing,0.1,0.03,0.0,0.0,0.14,140
Aquanaut's Holiday: Kakusareta Kiroku,Adventure,0.0,0.0,0.04,0.0,0.04,141
Aquapazza: Aquaplus Dream Match,Fighting,0.05,0.0,0.05,0.01,0.1,142
Ar Nosurge: Ode to an Unborn Star,Role-Playing,0.05,0.04,0.06,0.02,0.16,143
Ar tonelico Qoga: Knell of Ar Ciel,Role-Playing,0.08,0.01,0.13,0.01,0.24,144
Arc Rise Fantasia,Role-Playing,0.13,0.0,0.06,0.01,0.19,145
Arcade Shooting Gallery,Shooter,0.18,0.0,0.0,0.01,0.19,146
Arcade Zone,Misc,0.14,0.0,0.0,0.01,0.16,147
Arcana Heart 3,Fighting,0.02,0.04,0.060000000000000005,0.01,0.125,148
Arcania: Gothic 4,Role-Playing,0.05333333333333334,0.04,0.0033333333333333335,0.013333333333333334,0.11333333333333334,149
Arctic Tale,Adventure,0.04,0.0,0.0,0.0,0.05,150
Arctic Thunder,Racing,0.09,0.02,0.0,0.0,0.12,151
Are You Smarter Than a 5th Grader? Back to School,Misc,0.2,0.0,0.0,0.02,0.21,152
Are You Smarter than a 5th Grader? Game Time,Puzzle,0.185,0.0,0.0,0.015,0.195,153
Are You Smarter than a 5th Grader? Make the Grade,Misc,0.51,0.0,0.0,0.04,0.55,154
Area 51,Shooter,0.22,0.06,0.0,0.01,0.29,155
Arena Football,Sports,0.11,0.03,0.0,0.01,0.15,156
ArmA II,Shooter,0.0,0.12,0.0,0.03,0.14,157
ArmA III,Shooter,0.0,0.1,0.0,0.02,0.12,158
Armed and Dangerous,Shooter,0.09,0.03,0.0,0.0,0.13,159
Armored Core 4,Simulation,0.14,0.005,0.06,0.015,0.225,160
Armored Core V,Simulation,0.11,0.035,0.13999999999999999,0.015,0.31,161
Armored Core: For Answer,Simulation,0.06,0.015,0.085,0.01,0.16999999999999998,162
Armored Core: Verdict Day,Simulation,0.0,0.0,0.12,0.0,0.12,163
Army Men: Major Malfunction,Shooter,0.01,0.0,0.0,0.0,0.02,164
Army Men: Sarge's War,Shooter,0.09,0.02,0.0,0.0,0.11,165
Army Men: Soldiers of Misfortune,Shooter,0.12,0.0,0.0,0.01,0.13,166
Army Rescue,Shooter,0.02,0.0,0.0,0.0,0.02,167
Army of Two,Shooter,0.915,0.32,0.02,0.155,1.41,168
Army of Two: The 40th Day,Shooter,0.53,0.255,0.005,0.1,0.8999999999999999,169
Army of Two: The Devil's Cartel,Shooter,0.135,0.09,0.005,0.035,0.27,170
Arslan: The Warriors of Legend,Action,0.01,0.0033333333333333335,0.03,0.0033333333333333335,0.049999999999999996,171
Art Academy: Home Studio,Misc,0.0,0.0,0.01,0.0,0.01,172
Arx Fatalis,Role-Playing,0.04,0.01,0.0,0.0,0.05,173
Ashes Cricket 2009,Sports,0.0,0.19333333333333336,0.0,0.013333333333333334,0.20333333333333334,174
Assassin's Creed,Adventure,1.7333333333333332,1.4933333333333332,0.05333333333333334,0.48666666666666664,3.766666666666666,175
Assassin's Creed Chronicles,Action,0.005,0.030000000000000002,0.005,0.005,0.045,176
Assassin's Creed Chronicles: China,Action,0.0,0.03,0.0,0.01,0.04,177
Assassin's Creed II,Action,1.8833333333333335,1.32,0.09666666666666666,0.49666666666666665,3.8033333333333332,178
Assassin's Creed III,Action,1.56,1.2325,0.0475,0.435,3.275,179
Assassin's Creed IV: Black Flag,Action,1.028333333333333,0.8633333333333333,0.03333333333333333,0.275,2.193333333333333,180
Assassin's Creed Syndicate,Action,0.5033333333333334,0.8533333333333334,0.02,0.21,1.5866666666666667,181
Assassin's Creed: Brotherhood,Action,1.62,0.43333333333333335,0.04666666666666667,0.21333333333333335,2.31,182
Assassin's Creed: Revelations,Action,1.2666666666666668,1.3233333333333335,0.04666666666666667,0.43,3.063333333333333,183
Assassin's Creed: Rogue,Action,0.36000000000000004,0.34,0.02,0.11,0.83,184
Assassin's Creed: Unity,Action,1.2033333333333331,1.06,0.02666666666666667,0.35000000000000003,2.643333333333333,185
Assault Suit Leynos,Shooter,0.01,0.0,0.0,0.0,0.02,186
Assetto Corsa,Racing,0.0,0.025,0.0,0.005,0.030000000000000002,187
Astro Boy: The Video Game,Action,0.1,0.0,0.0,0.01,0.11,188
Asura's Wrath,Action,0.16499999999999998,0.09,0.034999999999999996,0.035,0.32499999999999996,189
Atari Anthology,Misc,0.19,0.05,0.0,0.01,0.25,190
Atelier Ayesha: The Alchemist of Dusk,Role-Playing,0.06,0.04,0.14,0.02,0.27,191
Atelier Escha & Logy: Alchemists of the Dusk Sky,Role-Playing,0.06,0.04,0.1,0.02,0.22,192
Atelier Meruru: Alchemist of Arland 3,Role-Playing,0.05,0.0,0.18,0.01,0.24,193
Atelier Rorona: Alchemist of Arland,Role-Playing,0.22,0.12,0.11,0.05,0.5,194
Atelier Shallie: Alchemists of the Dusk Sea,Role-Playing,0.06,0.05,0.08,0.02,0.2,195
Atelier Sophie: The Alchemist of the Mysterious Book,Role-Playing,0.005,0.01,0.045,0.005,0.065,196
Atelier Totori: The Adventurer of Arland,Role-Playing,0.12,0.07,0.21,0.03,0.43,197
Atlantic Quest,Puzzle,0.0,0.02,0.0,0.0,0.02,198
Attack of the Movies 3D,Shooter,0.07,0.0,0.0,0.005,0.075,199
Attack on Titan (KOEI),Action,0.01,0.02333333333333333,0.056666666666666664,0.006666666666666667,0.09666666666666668,200
